59,52381;174,54545;312,38095;33,69007;28,57143;111,11111;28,26488;7;38;42;1185,71429
17,39962;98,97959;85,88295;0;500;125,995;52,31218;8;440;523;0
57,07547;82,03125;122,8223;74,35775;11,76471;178,1768;207,44844;11;145;212;-18,39623
37,57962;216,36364;105,90988;70,20112;142,85714;114,14214;144,3357;12;139;157;24,84076
43,18182;142,78846;177,40385;61,55707;160;153,84615;110,45103;14;99;132;0
66,17647;128,78882;176,86557;50,82634;47,82609;238,2199;140,25922;18;115;204;-17,15686
31,50685;220,51282;133,54037;57,09476;80;121,21212;63,57796;21;125;146;56,16438
41,30435;107,07071;91,55844;18,43495;18,18182;96,84685;76,40689;22;89;92;39,13043
50;170,11364;86,47388;65,69545;414,70588;207,35294;121,28874;1;272;440;-25,68182
84,53608;158,82353;108,72483;63,43495;50;116,06096;69,52185;3;85;97;385,56701
88,39286;86,89024;100,65543;53,1301;30,76923;150,9434;75,82963;3;85;112;280,35714
30,96774;161,40351;77,92553;66,80141;50;144,39834;70,30486;5;121;155;145,80645
75,16779;104,90141;134,55516;33,69007;28,57143;341,65367;49,08995;6;64;149;-12,08054
50,4065;101,33333;115,05848;57,52881;183,33333;101,9879;154,96596;9;116;123;17,88618
36,33333;167,91768;142,14555;0;8,33333;129,83871;201,59717;11;248;300;1
85,71429;143,77953;150,23599;23,19859;30,76923;138,10742;132,62351;11;78;98;14,28571
59,09091;111,06811;125,85478;77,47119;57,14286;109,34891;81,04802;14;120;132;0
27,50716;116,9128;105,99882;82,05653;12,5;144,59609;159,90172;16;271;349;567,04871
38,78407;122,05714;89,17256;85,03026;25,64103;163,9965;290,23498;17;343;477;20,96436
66,66667;128,04878;121,61017;68,19859;88,88889;139,07285;174,81032;19;136;171;12,2807
84,68468;184,21053;104,20354;71,56505;15,78947;142,69275;143,52633;19;87;111;21,62162
71,69811;51,5625;105,31381;83,82982;3,44828;186,07955;97,81526;20;70;106;9,43396
56,30252;121,52778;104,25532;78,69007;110;156,64018;93,89447;22;88;119;-2,52101
79,6875;66,92308;81,85957;33,69007;75;178,89908;68,65712;23;44;64;0
40,74074;477,63158;99,62719;64,39781;88,88889;207,18563;34,37493;1;83;135;97,03704
33,03571;77,42059;140,72123;78,23171;50;168,34805;45,96262;3;159;224;-6,69643
27,58621;267,5;149,24812;33,69007;500;98,43938;40,464;5;83;87;21,83908
59,32203;85,35414;168,19005;39,80557;20;148,55876;25,93227;7;45;59;35,59322
57,35294;120,5029;77,54757;76,42957;12,5;131,95691;114,59589;9;111;136;99,26471
76,84211;147,15884;132,80734;79,2611;25;237,38318;105,68289;10;107;190;12,10526
57,57576;76,19048;125,5814;84,64417;15;129,11084;160,41518;12;82;99;111,11111
66,46707;84,88844;96,2196;65,22486;9,52381;295,14321;112,68173;14;80;167;-9,58084
82,65306;119,26606;141,14943;70,14479;500;177,08333;111,46701;17;67;98;5,10204
32,56956;194,02597;188,50987;84,80557;8,69565;138,91747;485,36032;17;486;611;267,43044
58,68852;162,54107;163,25278;71,25866;100;186,17284;277,09662;18;203;305;500,98361
47,05882;136,60131;152,98582;33,69007;111,11111;119,30165;88,8987;20;103;119;0
43,13725;73,52415;97,53506;45;33,33333;136,91932;78,55103;22;82;102;-8,82353
50,9434;214,28571;172,45119;57,99462;30,76923;239,05724;22,93792;1;59;106;1487,73585
64,04494;172,5;119,14849;66,66596;80;266,81128;19,2268;3;46;89;1759,55056
39,07285;114,10019;104,90818;33,69007;83,33333;165,89435;18,30389;4;108;151;974,83444
28,57143;221,81818;96,62338;5,71059;50;138,10742;27,7445;6;78;98;0
27,49141;233,64076;105,76156;69,22775;33,33333;129,51432;72,59485;10;241;291;447,07904
37,05584;134,48276;142,66906;64,79888;25;145,76494;57,36044;11;152;197;176,14213
86,95652;64,28571;66,21118;84,89783;11,42857;150,4298;43,79083;14;70;92;-6,52174
30,35714;165,32538;138,28808;65,1363;50;146,2963;74,69024;16;216;280;49,64286
60,7362;166,77524;136,94915;0;8,69565;133,38357;207,91619;18;133;163;76,68712
60;117,55102;113,67589;83,51693;500;175,36232;136,20639;19;69;100;124
55,13514;172,49322;147,72193;68,42869;8,33333;191,70124;94,94523;20;120;185;0
65,65657;182,83105;200,26337;64,29005;5;241,37931;80,65037;21;55;99;0
45,12195;197,4359;103,42857;69,14554;100;114,01099;25,95849;4;73;82;42,68293
86,95652;110,16949;108,23171;77,73523;500;248,67021;64,37923;9;75;138;3,62319
60,86957;100,85106;113,23944;73,81079;25;131,62544;60,83778;11;113;138;24,63768
68,69565;162,94774;169,50135;54,46232;13,7931;171,42857;53,22533;13;80;115;168,69565
26,37363;146,47202;110,72746;57,26477;22,22222;161,0468;55,45696;14;199;273;0
50;75,64534;83,2363;84,61069;76,92308;128,4153;86,56173;16;146;176;742,04545
62,29508;127,02703;139,49686;77,31962;18,75;147,12154;222,67639;17;94;122;1086,06557
67,91444;122,54717;118,05195;11,30993;500;222,12149;159,9327;18;110;187;649,19786
71,93878;85,95849;147,50524;70,84439;40;336,06557;92,71831;20;85;196;-40,81633
75,4386;101,13636;146,53846;89,99299;500;150,11547;52,80586;21;43;57;-8,77193
46,15385;135,9375;329,6875;26,56505;12,5;80,29197;39,03963;23;55;52;0
31,87251;110,49679;71,55436;35,53768;28,57143;160,74358;17,84506;3;183;251;65,33865
68,88889;125,11737;99,33142;14,03624;12,5;122,07792;21,63197;3;38;45;164,44444
39,81481;87,5817;126,77596;45;6,25;125;18,40863;5;91;108;176,85185
65,26316;244,0678;359,00826;56,30993;28,57143;314,94253;23,45759;7;44;95;18,94737
62,29508;131,25;94,13893;78,69007;11,76471;205,80475;53,44937;10;152;244;-10,2459
52,27273;101,89873;94,1388;47,29061;9,09091;246,88797;40,30101;14;96;176;644,88636
77,11864;88,4909;100,48077;73,17859;9,09091;186,70077;52,68681;15;78;118;947,45763
56,11111;106,36856;107,53804;62,70043;10;192,30769;83,24497;16;117;180;525
42,30769;184,13547;113,82411;80,53768;87,5;220,06256;319,56736;18;448;754;38,72679
67,63485;180,86957;115,49206;82,05653;13,63636;362,99292;185,54866;19;99;241;83,81743
86,73469;118,91892;138,95275;57,38076;75;219,93127;121,39154;20;58;98;211,22449
76,23318;192,10625;144,79934;78,17851;60;279,31961;212,65238;21;112;223;16,59193
34,24658;155,96591;124,19065;73,30076;500;144,62081;108,4981;22;113;146;41,78082
75,53191;127,43902;157,65562;45;30;180,81761;101,4482;22;64;94;18,08511
50,41322;175,26652;104,93373;68,96249;500;233,67199;19,91251;1;69;121;56,19835
84,15842;74,89644;57,18715;61,55707;28,57143;380,95238;21,43814;2;40;101;21,78218
51,81818;197,47748;117,72657;0;11,11111;202,89855;31,67617;4;69;110;140
25,64103;141,40867;87,32779;74,93151;500;121,19403;22,01852;5;167;195;8,20513
80,30303;75,64103;121,04283;77,73523;11,76471;176,21145;27,18879;5;45;66;-1,51515
62,66094;85,88322;116,62932;86,30861;33,33333;303,55515;73,93807;10;110;233;-30,4721
49,53704;79,09605;80,11817;63,43495;16,66667;217,15611;37,37893;13;129;216;27,31481
76,57658;206,52174;206,64207;8,1301;11,76471;122,23393;47,50698;15;95;111;52,25225
66,2069;120,06861;118,94647;74,0546;500;149,32127;57,57618;16;110;145;-11,03448
43,75;119,17563;72,44745;84,55967;75;121,35922;148,00004;21;165;192;10,9375
81,92771;137,88168;236,22917;47,86241;72,72727;269,32084;80,21362;21;43;83;26,50602
71,42857;119,79167;170,9622;45;500;199,35691;37,14481;22;31;49;-6,12245
52,21675;84,81848;73,94366;81,61675;25;290,78014;20,86531;2;99;203;115,76355
62,72727;122,54902;83,93782;51,70984;42,85714;198,57143;20,72611;3;70;110;-8,18182
58,70968;154,45545;108,95009;71,84729;20;240,46243;31,7177;4;87;155;112,90323
53,91304;187,60504;134,87482;8,74616;12,5;164,84848;21,1987;5;82;115;131,30435
47,77778;119,53602;189,65517;34,99202;7,14286;151,47059;19,42251;5;68;90;35,55556
55,81395;172,72727;236,2069;45;500;142,43323;13,23236;7;34;43;25,5814
64,42953;82,66667;68,14196;48,81407;25;232,66745;34,22163;9;85;149;-15,43624
27,07182;132,85714;112,86496;53,1301;500;104,8243;115,40409;19;168;181;18,78453
89,15663;93,90244;69,53748;74,29136;33,33333;252,79642;90,91845;19;45;83;-8,43373
70;136,75214;294,07407;11,30993;28,57143;150;49,11605;23;38;50;0
74,13793;201,02564;181,39535;67,38014;20;188,48168;17,7132;2;38;58;275,86207
80,76923;95,90164;111,42857;14,03624;8,33333;106,69456;11,45487;3;48;52;290,38462
68,85246;129,16667;92,36726;71,56505;100;103,69069;13,23923;3;57;61;216,39344
38,34586;142,5;124,90385;16,69924;14,28571;111,11111;16,192;4;120;133;30,82707
46,25;73,5;81,06838;51,70984;500;141,26984;11,97136;6;63;80;77,5
56,06061;154;79,94536;11,30993;500;143,96887;19,20134;8;51;66;0
61,81818;76,80492;121,89662;80,53768;28,57143;213,81381;89,59704;10;166;275;-7,63636
82,55034;84,92823;90,66339;84,35945;7,14286;262,48399;83,19758;11;78;149;-34,89933
53,08642;182,69231;118,25095;57,99462;50;105,47397;78,09694;12;75;81;271,60494
72,48322;106,2747;94,23612;78,69007;18,18182;272,01051;87,21853;15;76;149;-34,89933
89,39394;143,15789;152,33333;53,1301;16,66667;202,89855;66,37706;16;41;66;19,69697
71,63121;145,44444;147,09024;59,03624;57,14286;170,87968;154,15807;17;99;141;56,73759
73,75;86,66667;109,67742;71,56505;500;102,66667;92,2675;19;75;80;0
86,04651;139,95536;124,93345;15,9454;500;122,6158;56,30102;21;37;43;11,62791
75;185,17442;294,11157;29,53878;11,11111;214,28571;25,59258;23;27;44;-4,54545
31,03448;117,98942;129,86312;58,3925;31,25;133,47458;30,19127;4;142;174;-0,57471
70,83333;189,28571;188,52459;51,34019;20;174,6988;20,64776;5;33;48;0
53,50877;184,72222;112,30469;49,39871;77,77778;131,41026;89,19267;11;94;114;40,35088
63,5514;107,40741;103,42342;82,30395;43,75;113,32634;72,02874;12;95;107;0
50;116;89,60177;76,86598;14,28571;125;61,57083;13;76;90;32,22222
73,5;78,84541;91,70938;79,75591;9,09091;265,38462;67,17006;15;104;200;113,5
43,39623;114,16667;134,66003;83,92754;6,25;160,20672;86,33242;16;194;265;41,13208
78,26087;69,82456;95,10934;53,1301;11,76471;117,41294;66,30678;16;100;115;94,78261
84,14634;287,26592;182,9767;53,97263;500;129,79351;100,93435;19;68;82;0
60;189,75904;100,34662;11,30993;500;166,35514;95,91422;21;53;75;376
31,43713;191,7;228,49624;79,9194;9,7561;156,30048;205,86124;22;248;334;-2,69461
67,70833;106,68103;100,9772;60,52411;28,57143;229,24188;78,0797;23;55;96;-28,125
80,26316;96,42857;114,05405;56,97613;6,66667;175,57252;21,41311;23;52;76;0
84,25926;35,52189;38,74716;53,1301;60;423,46939;14,63317;2;39;108;-12,96296
83,33333;184,84848;196,15385;78,36637;500;176,21145;13,41854;2;45;66;-6,06061
37,38318;101,57343;62,09054;59,03624;500;122,67251;14,63083;6;91;107;72,8972
52,77778;90,20737;145,55256;42,8789;9,09091;117,83439;16,78332;7;63;72;55,55556
27,2;207,25624;209,66767;74,35775;11,11111;135,14851;90,68456;10;202;250;33,2
60,83916;301,05263;148,65424;71,56505;6,89655;228,53688;77,58016;11;83;143;-27,27273
85,10638;83,4464;104,4511;68,19859;60;339,90148;85,01905;15;61;141;98,58156
68,13187;74,2616;153,53535;75,06858;6,45161;116,39549;74,04902;15;80;91;184,61538
63,93443;69,89011;115,07662;83,92754;12;173,34906;72,81735;16;85;122;67,21311
52,66667;67,42788;99,03475;87,03906;500;137,5;153,22086;18;120;150;23,33333
79,82456;117,51152;136,80732;69,14554;21,42857;508,42697;109,68183;19;36;114;-27,19298
46,77419;113,44538;60,50228;54,46232;500;100,34014;11,9863;2;59;62;0
77,5;57,40741;81,52174;61,38954;20;111,11111;11,60079;5;36;40;0
42,5641;76,47059;100,67365;18,43495;26,31579;130,84112;69,21135;10;161;195;78,97436
48,48485;92,4359;92,88789;77,00538;28,57143;132,65306;53,1506;13;108;132;31,06061
82,65306;116,84588;111,61752;50,19443;85,71429;194,62025;62,71849;13;63;98;7,14286
74,19355;71,72414;77,48344;81,02737;166,66667;181,81818;61,88327;14;42;62;41,93548
69,78022;124,59893;120,4096;69,60512;14,28571;280,837;88,34648;16;91;182;-25,82418
44,58874;197,84501;216,86292;74,74488;33,33333;225,35211;192,36477;18;135;231;30,30303
65,34653;98,07163;121,08214;79,2157;4,54545;156,20828;104,75742;19;75;101;53,46535
80;192;140,74667;12,99462;500;388,57143;66,33477;19;18;45;166,66667
88,28829;146,34503;114,0264;21,80141;500;561,12853;94,27212;20;32;111;-45,04505
60,52632;89,28571;108,20578;70,01689;500;135,17915;68,39904;21;61;76;165,78947
86,62791;129,69697;115,02058;79,11447;30;455,78231;264,69004;22;59;172;-45,34884
43,66197;163,19444;174,30859;53,53077;77,77778;137,0826;103,99573;22;57;71;0
83,87097;52,94118;101,04167;89,99044;27,27273;103,80623;17,051;1;29;31;674,19355
69,81132;20,3125;71,84685;89,99145;12,5;77,60141;20,69134;3;57;53;75,4717
87,01299;66,29464;62,09983;73,81079;10;456,27376;25,18738;3;26;77;-33,76623
75,60976;90,90909;121,38098;51,34019;20;123,20917;22,49589;4;35;41;0
51,5625;138,9899;107,42317;18,43495;62,5;122,71062;17,03334;5;55;64;1,5625
66,66667;171,56863;91,22807;45;60;121,35922;17,30184;8;41;48;129,16667
56,38298;94,07895;90,07519;56,30993;41,17647;160,34985;30,30978;9;69;94;3,19149
84,82143;80,96386;88,29096;63,43495;18,18182;209,30233;68,29618;10;69;112;95,53571
76,41509;82,80828;70,21944;78,23171;13,33333;228,01303;57,73098;11;61;106;90,56604
89,79592;57,86618;84,82143;29,74488;23,07692;111,11111;61,02785;11;44;49;261,22449
55,55556;211,60714;99,11093;79,69515;72,72727;250,56948;76,60229;12;88;162;3,08642
78,7234;66,27907;100,62893;59,03624;5,26316;121,58809;44,57815;14;40;47;91,48936
71,53846;75,17647;141,455;56,82149;40;238,35616;123,04703;19;73;130;191,53846
22,88136;130,71895;142,60563;33,69007;25;115,16315;75,36356;20;104;118;31,35593
37,30159;267,58148;191,34199;0;50;153,60169;30,28817;2;94;126;109,52381
89,18919;112,5;73,98374;10,30485;500;88,47185;22,97125;3;37;37;0
47,5;115,38462;123,44913;60,25512;20;145,16129;29,38392;4;62;80;150
69,69697;88,04348;78,0303;18,43495;42,85714;97,7918;15,15874;5;32;33;0
68;44,00871;75,11312;82,23483;9,09091;102,12766;15,62664;8;47;50;246
73,20261;256,32911;151,54639;75,20324;15,15152;255,81395;62,27813;9;82;153;-23,52941
75;54,20267;72,77328;66,80141;112,5;165,44118;53,18406;10;54;76;0
57,04225;132,90122;133,27743;34,50852;20;233,91089;47,86574;13;81;142;0
42,62295;84,10429;149,79381;63,43495;500;147,12154;211,73963;18;94;122;1,63934
56,52174;75,59682;82,41758;66,80141;11,11111;84,38819;84,48885;19;47;46;0
33,96226;120,53571;46,06742;30,96376;500;125,27964;51,72161;21;45;53;35,84906
54,38596;119,25926;77,33333;66,80141;11,11111;115,30815;18,95852;3;50;57;10,52632
87,80488;83,19328;80,21518;40,60129;80;85,91885;21,75589;5;42;41;0
40;130,52632;84,5283;26,56505;12,5;82,19178;23,6397;7;36;35;0
73,01587;107,55814;135,01908;49,39871;20;114,90126;77,70498;9;56;63;236,50794
82,07547;179,77528;144,77379;75,25644;35,71429;217,66562;107,04588;10;63;106;62,26415
60,5042;93,72219;100,54335;0;60;247,31183;70,76902;11;65;119;28,57143
64,22018;146,42857;181,06061;78,69007;33,33333;199,71056;73,40779;12;69;109;-20,18349
33,49515;144,61207;157,65086;56,30993;500;115,76626;153,08971;17;181;206;155,33981
36,13445;176,5625;121,4497;38,15723;40;130,4791;88,92146;19;98;119;51,2605
88,88889;188,88889;102,10526;64,53665;60;87,91209;12,58115;2;36;36;0
64,86486;76,66667;49,42661;60,25512;40;318,45238;31,8278;4;34;74;59,45946
74,28571;107,55495;198,92892;45;33,33333;118,03279;14,54964;5;31;35;68,57143
57,89474;94,44444;74,71264;18,43495;120;105,11364;21,0617;6;35;38;23,68421
64,15094;51,86289;67,40576;9,46232;100;94,77756;17,7431;8;52;53;62,26415
73,07692;184,21053;122,05128;60,25512;500;168,47826;36,58378;8;37;52;-5,76923
